Grade,Grade Serial,Subject,Subject Serial,Concatenate 1,Concatenate 2
3 SD,CMP-52J4JHX9,Matematika,Node-SOY2ZWNC,3 SD|Matematika,CMP-52J4JHX9#Node-SOY2ZWNC
3 SD,CMP-52J4JHX9,Bahasa Indonesia,Node-05MT3TEM,3 SD|Bahasa Indonesia,CMP-52J4JHX9#Node-05MT3TEM
3 SD,CMP-52J4JHX9,Bahasa Inggris,Node-IE2EUS4E,3 SD|Bahasa Inggris,CMP-52J4JHX9#Node-IE2EUS4E
3 SD,CMP-52J4JHX9,IPAS IPS,Node-1AY25IS8,3 SD|IPAS IPS,CMP-52J4JHX9#Node-1AY25IS8
3 SD,CMP-52J4JHX9,IPAS IPA,Node-SEA9C4SB,3 SD|IPAS IPA,CMP-52J4JHX9#Node-SEA9C4SB
3 SD,CMP-52J4JHX9,PKN,Node-QORYJ3GR,3 SD|PKN,CMP-52J4JHX9#Node-QORYJ3GR
4 SD,CMP-VGYKEHGA,Matematika,Node-P05SFG4H,4 SD|Matematika,CMP-VGYKEHGA#Node-P05SFG4H
4 SD,CMP-VGYKEHGA,Bahasa Indonesia,Node-X4XXZRKJ,4 SD|Bahasa Indonesia,CMP-VGYKEHGA#Node-X4XXZRKJ
4 SD,CMP-VGYKEHGA,Bahasa Inggris,Node-1QS4NQYP,4 SD|Bahasa Inggris,CMP-VGYKEHGA#Node-1QS4NQYP
4 SD,CMP-VGYKEHGA,IPAS IPS,Node-8A9SDT99,4 SD|IPAS IPS,CMP-VGYKEHGA#Node-8A9SDT99
4 SD,CMP-VGYKEHGA,IPAS IPA,Node-PC33I9Z4,4 SD|IPAS IPA,CMP-VGYKEHGA#Node-PC33I9Z4
4 SD,CMP-VGYKEHGA,PKN,Node-F0USOK8V,4 SD|PKN,CMP-VGYKEHGA#Node-F0USOK8V
5 SD,CMP-16YQSVLR,Matematika,Node-90JJQWAV,5 SD|Matematika,CMP-16YQSVLR#Node-90JJQWAV
5 SD,CMP-16YQSVLR,Bahasa Indonesia,Node-00MCT8OG,5 SD|Bahasa Indonesia,CMP-16YQSVLR#Node-00MCT8OG
